Date,Temperature,Humidity
12/1/2024,15.2,65
12/2/2024,17.8,70
12/3/2024,12.4,60
12/4/2024,20.5,75
12/5/2024,18.3,80
12/6/2024,25.2,85
12/7/2024,10.1,50
12/8/2024,22.5,90
12/9/2024,14.3,55
12/10/2024,28.7,95
12/11/2024,16.4,68
12/12/2024,19.8,73
12/13/2024,11.2,62
12/14/2024,23.5,78
12/15/2024,21.1,82
12/16/2024,26.7,87
12/17/2024,13.6,52
12/18/2024,24.8,92
12/19/2024,15.9,58
12/20/2024,29.3,97
12/21/2024,14.7,66
12/22/2024,20.2,71
12/23/2024,12.8,63
12/24/2024,22.9,77
12/25/2024,18.6,79
12/26/2024,27.1,84
12/27/2024,13.3,54
12/28/2024,25.4,88
12/29/2024,12.2,59
12/30/2024,23.3,98
11/1/2024,25.5,85
11/2/2024,59.8,75
11/3/2024,3.67,45
